== 2024-02-26 16:10:32.246380 == | ================启动Log================
== 2024-02-26 16:28:03.023690 writeLog== | k线完结,{'e': 'kline', 'E': 1708936083000, 's': 'ARPAUSDT', 'k': {'t': 1708936020000, 'T': 1708936079999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168027263, 'L': 168027368, 'o': '0.06758', 'c': '0.06757', 'h': '0.06761', 'l': '0.06755', 'v': '113879', 'n': 106, 'x': True, 'q': '7696.53398', 'V': '57134', 'Q': '3861.76942', 'B': '0'}}
== 2024-02-26 16:29:00.085151 writeLog== | k线完结,{'e': 'kline', 'E': 1708936140066, 's': 'ARPAUSDT', 'k': {'t': 1708936080000, 'T': 1708936139999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168027369, 'L': 168027445, 'o': '0.06755', 'c': '0.06751', 'h': '0.06755', 'l': '0.06748', 'v': '91973', 'n': 77, 'x': True, 'q': '6208.63346', 'V': '21099', 'Q': '1424.36509', 'B': '0'}}
== 2024-02-26 16:30:03.023740 writeLog== | k线完结,{'e': 'kline', 'E': 1708936203001, 's': 'ARPAUSDT', 'k': {'t': 1708936140000, 'T': 1708936199999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168027446, 'L': 168027513, 'o': '0.06752', 'c': '0.06758', 'h': '0.06758', 'l': '0.06751', 'v': '63488', 'n': 68, 'x': True, 'q': '4288.62214', 'V': '53715', 'Q': '3628.47881', 'B': '0'}}
== 2024-02-26 16:31:00.267064 writeLog== | k线完结,{'e': 'kline', 'E': 1708936260217, 's': 'ARPAUSDT', 'k': {'t': 1708936200000, 'T': 1708936259999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168027514, 'L': 168027586, 'o': '0.06758', 'c': '0.06760', 'h': '0.06762', 'l': '0.06758', 'v': '67741', 'n': 73, 'x': True, 'q': '4579.12271', 'V': '40087', 'Q': '2709.63957', 'B': '0'}}
== 2024-02-26 16:32:00.858794 writeLog== | k线完结,{'e': 'kline', 'E': 1708936320822, 's': 'ARPAUSDT', 'k': {'t': 1708936260000, 'T': 1708936319999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168027587, 'L': 168027693, 'o': '0.06759', 'c': '0.06752', 'h': '0.06759', 'l': '0.06751', 'v': '91180', 'n': 107, 'x': True, 'q': '6158.64323', 'V': '26184', 'Q': '1768.57812', 'B': '0'}}
== 2024-02-26 16:33:03.015945 writeLog== | k线完结,{'e': 'kline', 'E': 1708936383000, 's': 'ARPAUSDT', 'k': {'t': 1708936320000, 'T': 1708936379999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168027694, 'L': 168027772, 'o': '0.06752', 'c': '0.06754', 'h': '0.06755', 'l': '0.06752', 'v': '63681', 'n': 79, 'x': True, 'q': '4300.86750', 'V': '26624', 'Q': '1798.16046', 'B': '0'}}
== 2024-02-26 16:33:04.258212 writeLog== | 全撤:{'status': 'success', 'data': {'ts': 1708936384257, 'code': 0, 'info': 'success'}, 'extra': None}
== 2024-02-26 16:34:03.038516 writeLog== | k线完结,{'e': 'kline', 'E': 1708936443000, 's': 'ARPAUSDT', 'k': {'t': 1708936380000, 'T': 1708936439999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168027773, 'L': 168027806, 'o': '0.06754', 'c': '0.06755', 'h': '0.06756', 'l': '0.06754', 'v': '86138', 'n': 34, 'x': True, 'q': '5819.16113', 'V': '84783', 'Q': '5727.63088', 'B': '0'}}
== 2024-02-26 16:35:03.017954 writeLog== | k线完结,{'e': 'kline', 'E': 1708936503000, 's': 'ARPAUSDT', 'k': {'t': 1708936440000, 'T': 1708936499999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168027807, 'L': 168027878, 'o': '0.06754', 'c': '0.06753', 'h': '0.06754', 'l': '0.06750', 'v': '60302', 'n': 72, 'x': True, 'q': '4071.72982', 'V': '21529', 'Q': '1453.58978', 'B': '0'}}
== 2024-02-26 16:36:03.017675 writeLog== | k线完结,{'e': 'kline', 'E': 1708936563001, 's': 'ARPAUSDT', 'k': {'t': 1708936500000, 'T': 1708936559999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168027879, 'L': 168027926, 'o': '0.06752', 'c': '0.06744', 'h': '0.06752', 'l': '0.06744', 'v': '66075', 'n': 48, 'x': True, 'q': '4459.87392', 'V': '3049', 'Q': '205.79932', 'B': '0'}}
== 2024-02-26 16:37:03.016039 writeLog== | k线完结,{'e': 'kline', 'E': 1708936623001, 's': 'ARPAUSDT', 'k': {'t': 1708936560000, 'T': 1708936619999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168027927, 'L': 168027988, 'o': '0.06743', 'c': '0.06744', 'h': '0.06747', 'l': '0.06743', 'v': '53024', 'n': 62, 'x': True, 'q': '3576.41382', 'V': '35295', 'Q': '2380.58334', 'B': '0'}}
== 2024-02-26 16:38:02.491446 writeLog== | k线完结,{'e': 'kline', 'E': 1708936682464, 's': 'ARPAUSDT', 'k': {'t': 1708936620000, 'T': 1708936679999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168027989, 'L': 168028010, 'o': '0.06743', 'c': '0.06742', 'h': '0.06743', 'l': '0.06742', 'v': '17122', 'n': 22, 'x': True, 'q': '1154.49066', 'V': '9347', 'Q': '630.24287', 'B': '0'}}
== 2024-02-26 16:38:07.504451 writeLog== | 全撤:{'status': 'success', 'data': {'ts': 1708936687504, 'code': 0, 'info': 'success'}, 'extra': None}
== 2024-02-26 16:39:03.069266 writeLog== | k线完结,{'e': 'kline', 'E': 1708936743002, 's': 'ARPAUSDT', 'k': {'t': 1708936680000, 'T': 1708936739999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168028011, 'L': 168028093, 'o': '0.06740', 'c': '0.06739', 'h': '0.06740', 'l': '0.06736', 'v': '162282', 'n': 83, 'x': True, 'q': '10933.74437', 'V': '97559', 'Q': '6573.04489', 'B': '0'}}
== 2024-02-26 16:40:03.015654 writeLog== | k线完结,{'e': 'kline', 'E': 1708936803000, 's': 'ARPAUSDT', 'k': {'t': 1708936740000, 'T': 1708936799999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168028094, 'L': 168028142, 'o': '0.06737', 'c': '0.06735', 'h': '0.06737', 'l': '0.06734', 'v': '46050', 'n': 49, 'x': True, 'q': '3101.62208', 'V': '14460', 'Q': '973.93978', 'B': '0'}}
== 2024-02-26 16:40:09.011142 writeLog== | 全撤:{'status': 'success', 'data': {'ts': 1708936809010, 'code': 0, 'info': 'success'}, 'extra': None}
== 2024-02-26 16:41:01.780904 writeLog== | k线完结,{'e': 'kline', 'E': 1708936861766, 's': 'ARPAUSDT', 'k': {'t': 1708936800000, 'T': 1708936859999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168028143, 'L': 168028288, 'o': '0.06734', 'c': '0.06732', 'h': '0.06734', 'l': '0.06725', 'v': '252270', 'n': 146, 'x': True, 'q': '16975.53103', 'V': '37833', 'Q': '2545.55231', 'B': '0'}}
== 2024-02-26 16:42:03.010808 writeLog== | k线完结,{'e': 'kline', 'E': 1708936923000, 's': 'ARPAUSDT', 'k': {'t': 1708936860000, 'T': 1708936919999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168028289, 'L': 168028329, 'o': '0.06733', 'c': '0.06735', 'h': '0.06735', 'l': '0.06730', 'v': '42826', 'n': 41, 'x': True, 'q': '2883.33645', 'V': '25702', 'Q': '1730.64395', 'B': '0'}}
== 2024-02-26 16:43:00.612199 writeLog== | k线完结,{'e': 'kline', 'E': 1708936980563, 's': 'ARPAUSDT', 'k': {'t': 1708936920000, 'T': 1708936979999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168028330, 'L': 168028368, 'o': '0.06735', 'c': '0.06732', 'h': '0.06735', 'l': '0.06731', 'v': '35950', 'n': 39, 'x': True, 'q': '2420.59988', 'V': '4619', 'Q': '310.95316', 'B': '0'}}
== 2024-02-26 16:44:03.009440 writeLog== | k线完结,{'e': 'kline', 'E': 1708937043001, 's': 'ARPAUSDT', 'k': {'t': 1708936980000, 'T': 1708937039999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168028369, 'L': 168028413, 'o': '0.06732', 'c': '0.06735', 'h': '0.06737', 'l': '0.06732', 'v': '72960', 'n': 45, 'x': True, 'q': '4913.86264', 'V': '59795', 'Q': '4027.28970', 'B': '0'}}
== 2024-02-26 16:45:01.436991 writeLog== | k线完结,{'e': 'kline', 'E': 1708937101389, 's': 'ARPAUSDT', 'k': {'t': 1708937040000, 'T': 1708937099999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168028414, 'L': 168028443, 'o': '0.06734', 'c': '0.06727', 'h': '0.06734', 'l': '0.06727', 'v': '21234', 'n': 30, 'x': True, 'q': '1429.35245', 'V': '79', 'Q': '5.31433', 'B': '0'}}
== 2024-02-26 16:46:00.284338 writeLog== | k线完结,{'e': 'kline', 'E': 1708937160239, 's': 'ARPAUSDT', 'k': {'t': 1708937100000, 'T': 1708937159999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168028444, 'L': 168028583, 'o': '0.06727', 'c': '0.06711', 'h': '0.06727', 'l': '0.06710', 'v': '147616', 'n': 140, 'x': True, 'q': '9911.62960', 'V': '42563', 'Q': '2858.14634', 'B': '0'}}
== 2024-02-26 16:47:00.657470 writeLog== | k线完结,{'e': 'kline', 'E': 1708937220550, 's': 'ARPAUSDT', 'k': {'t': 1708937160000, 'T': 1708937219999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168028584, 'L': 168028805, 'o': '0.06712', 'c': '0.06729', 'h': '0.06729', 'l': '0.06710', 'v': '318199', 'n': 222, 'x': True, 'q': '21380.58008', 'V': '278915', 'Q': '18741.03832', 'B': '0'}}
== 2024-02-26 16:48:03.007809 writeLog== | k线完结,{'e': 'kline', 'E': 1708937283000, 's': 'ARPAUSDT', 'k': {'t': 1708937220000, 'T': 1708937279999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168028806, 'L': 168028877, 'o': '0.06728', 'c': '0.06726', 'h': '0.06730', 'l': '0.06722', 'v': '64470', 'n': 72, 'x': True, 'q': '4336.76156', 'V': '10687', 'Q': '718.72096', 'B': '0'}}
== 2024-02-26 16:49:00.297351 writeLog== | k线完结,{'e': 'kline', 'E': 1708937340254, 's': 'ARPAUSDT', 'k': {'t': 1708937280000, 'T': 1708937339999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168028878, 'L': 168028954, 'o': '0.06726', 'c': '0.06720', 'h': '0.06726', 'l': '0.06719', 'v': '88237', 'n': 77, 'x': True, 'q': '5931.06593', 'V': '27169', 'Q': '1826.10866', 'B': '0'}}
== 2024-02-26 16:50:02.648532 writeLog== | k线完结,{'e': 'kline', 'E': 1708937402610, 's': 'ARPAUSDT', 'k': {'t': 1708937340000, 'T': 1708937399999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168028955, 'L': 168028989, 'o': '0.06721', 'c': '0.06731', 'h': '0.06731', 'l': '0.06721', 'v': '45970', 'n': 35, 'x': True, 'q': '3092.21241', 'V': '32187', 'Q': '2164.53333', 'B': '0'}}
== 2024-02-26 16:51:01.961548 writeLog== | k线完结,{'e': 'kline', 'E': 1708937461957, 's': 'ARPAUSDT', 'k': {'t': 1708937400000, 'T': 1708937459999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168028990, 'L': 168029055, 'o': '0.06731', 'c': '0.06718', 'h': '0.06731', 'l': '0.06718', 'v': '80295', 'n': 66, 'x': True, 'q': '5399.65454', 'V': '9455', 'Q': '635.83404', 'B': '0'}}
== 2024-02-26 16:51:14.022178 writeLog== | 全撤:{'status': 'success', 'data': {'ts': 1708937474021, 'code': 0, 'info': 'success'}, 'extra': None}
== 2024-02-26 16:52:00.574337 writeLog== | k线完结,{'e': 'kline', 'E': 1708937520536, 's': 'ARPAUSDT', 'k': {'t': 1708937460000, 'T': 1708937519999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168029056, 'L': 168029253, 'o': '0.06718', 'c': '0.06708', 'h': '0.06718', 'l': '0.06704', 'v': '287209', 'n': 198, 'x': True, 'q': '19270.48469', 'V': '41214', 'Q': '2766.79500', 'B': '0'}}
== 2024-02-26 16:53:00.768361 writeLog== | k线完结,{'e': 'kline', 'E': 1708937580763, 's': 'ARPAUSDT', 'k': {'t': 1708937520000, 'T': 1708937579999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168029254, 'L': 168029798, 'o': '0.06707', 'c': '0.06687', 'h': '0.06709', 'l': '0.06675', 'v': '1113684', 'n': 545, 'x': True, 'q': '74483.73140', 'V': '115422', 'Q': '7725.36163', 'B': '0'}}
== 2024-02-26 16:54:01.256944 writeLog== | k线完结,{'e': 'kline', 'E': 1708937641232, 's': 'ARPAUSDT', 'k': {'t': 1708937580000, 'T': 1708937639999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168029799, 'L': 168030118, 'o': '0.06688', 'c': '0.06698', 'h': '0.06698', 'l': '0.06682', 'v': '457932', 'n': 320, 'x': True, 'q': '30624.33929', 'V': '294498', 'Q': '19695.27843', 'B': '0'}}
== 2024-02-26 16:55:00.009981 writeLog== | k线完结,{'e': 'kline', 'E': 1708937700009, 's': 'ARPAUSDT', 'k': {'t': 1708937640000, 'T': 1708937699999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168030119, 'L': 168030539, 'o': '0.06697', 'c': '0.06712', 'h': '0.06729', 'l': '0.06696', 'v': '1834400', 'n': 421, 'x': True, 'q': '123180.02731', 'V': '1613742', 'Q': '108359.17602', 'B': '0'}}
== 2024-02-26 16:56:03.001388 writeLog== | k线完结,{'e': 'kline', 'E': 1708937763000, 's': 'ARPAUSDT', 'k': {'t': 1708937700000, 'T': 1708937759999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168030540, 'L': 168030626, 'o': '0.06712', 'c': '0.06722', 'h': '0.06722', 'l': '0.06712', 'v': '70390', 'n': 87, 'x': True, 'q': '4727.55615', 'V': '45376', 'Q': '3047.59540', 'B': '0'}}
== 2024-02-26 16:57:03.002412 writeLog== | k线完结,{'e': 'kline', 'E': 1708937823001, 's': 'ARPAUSDT', 'k': {'t': 1708937760000, 'T': 1708937819999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168030627, 'L': 168030696, 'o': '0.06722', 'c': '0.06722', 'h': '0.06729', 'l': '0.06721', 'v': '76895', 'n': 70, 'x': True, 'q': '5170.26788', 'V': '18818', 'Q': '1265.26931', 'B': '0'}}
== 2024-02-26 16:58:03.001019 writeLog== | k线完结,{'e': 'kline', 'E': 1708937883001, 's': 'ARPAUSDT', 'k': {'t': 1708937820000, 'T': 1708937879999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168030697, 'L': 168030791, 'o': '0.06721', 'c': '0.06718', 'h': '0.06723', 'l': '0.06716', 'v': '115146', 'n': 95, 'x': True, 'q': '7736.73137', 'V': '64009', 'Q': '4301.10222', 'B': '0'}}
== 2024-02-26 16:59:01.891316 writeLog== | k线完结,{'e': 'kline', 'E': 1708937941873, 's': 'ARPAUSDT', 'k': {'t': 1708937880000, 'T': 1708937939999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168030792, 'L': 168030916, 'o': '0.06717', 'c': '0.06715', 'h': '0.06717', 'l': '0.06712', 'v': '108252', 'n': 125, 'x': True, 'q': '7269.39265', 'V': '20941', 'Q': '1406.37392', 'B': '0'}}
== 2024-02-26 17:00:02.633610 writeLog== | k线完结,{'e': 'kline', 'E': 1708938002569, 's': 'ARPAUSDT', 'k': {'t': 1708937940000, 'T': 1708937999999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168030917, 'L': 168031073, 'o': '0.06715', 'c': '0.06715', 'h': '0.06716', 'l': '0.06708', 'v': '116529', 'n': 157, 'x': True, 'q': '7821.08340', 'V': '41629', 'Q': '2794.79848', 'B': '0'}}
== 2024-02-26 17:01:00.708365 writeLog== | k线完结,{'e': 'kline', 'E': 1708938060665, 's': 'ARPAUSDT', 'k': {'t': 1708938000000, 'T': 1708938059999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168031074, 'L': 168031305, 'o': '0.06717', 'c': '0.06701', 'h': '0.06717', 'l': '0.06699', 'v': '579821', 'n': 232, 'x': True, 'q': '38872.29641', 'V': '32238', 'Q': '2164.32161', 'B': '0'}}
== 2024-02-26 17:02:01.832034 writeLog== | k线完结,{'e': 'kline', 'E': 1708938121834, 's': 'ARPAUSDT', 'k': {'t': 1708938060000, 'T': 1708938119999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168031306, 'L': 168031512, 'o': '0.06702', 'c': '0.06695', 'h': '0.06703', 'l': '0.06689', 'v': '265339', 'n': 207, 'x': True, 'q': '17767.81363', 'V': '30194', 'Q': '2022.80499', 'B': '0'}}
== 2024-02-26 17:03:02.999137 writeLog== | k线完结,{'e': 'kline', 'E': 1708938183000, 's': 'ARPAUSDT', 'k': {'t': 1708938120000, 'T': 1708938179999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168031513, 'L': 168031710, 'o': '0.06694', 'c': '0.06707', 'h': '0.06711', 'l': '0.06689', 'v': '186678', 'n': 198, 'x': True, 'q': '12501.50338', 'V': '73400', 'Q': '4917.77469', 'B': '0'}}
== 2024-02-26 17:03:20.096076 writeLog== | 全撤:{'status': 'success', 'data': {'ts': 1708938200095, 'code': 0, 'info': 'success'}, 'extra': None}
== 2024-02-26 17:04:02.624975 writeLog== | k线完结,{'e': 'kline', 'E': 1708938242482, 's': 'ARPAUSDT', 'k': {'t': 1708938180000, 'T': 1708938239999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168031711, 'L': 168031780, 'o': '0.06705', 'c': '0.06712', 'h': '0.06714', 'l': '0.06705', 'v': '61536', 'n': 70, 'x': True, 'q': '4129.22289', 'V': '34830', 'Q': '2337.04247', 'B': '0'}}
== 2024-02-26 17:05:00.447694 writeLog== | k线完结,{'e': 'kline', 'E': 1708938300432, 's': 'ARPAUSDT', 'k': {'t': 1708938240000, 'T': 1708938299999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168031781, 'L': 168031818, 'o': '0.06714', 'c': '0.06712', 'h': '0.06716', 'l': '0.06712', 'v': '24440', 'n': 38, 'x': True, 'q': '1640.84306', 'V': '18653', 'Q': '1252.40143', 'B': '0'}}
== 2024-02-26 17:06:01.646170 writeLog== | k线完结,{'e': 'kline', 'E': 1708938361628, 's': 'ARPAUSDT', 'k': {'t': 1708938300000, 'T': 1708938359999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168031819, 'L': 168031917, 'o': '0.06712', 'c': '0.06707', 'h': '0.06712', 'l': '0.06702', 'v': '145496', 'n': 99, 'x': True, 'q': '9756.80658', 'V': '31723', 'Q': '2127.18795', 'B': '0'}}
== 2024-02-26 17:07:02.999641 writeLog== | k线完结,{'e': 'kline', 'E': 1708938423000, 's': 'ARPAUSDT', 'k': {'t': 1708938360000, 'T': 1708938419999, 's': 'ARPAUSDT', 'i': '1m', 'f': 168031918, 'L': 168032012, 'o': '0.06708', 'c': '0.06714', 'h': '0.06717', 'l': '0.06707', 'v': '69023', 'n': 95, 'x': True, 'q': '4633.55794', 'V': '53017', 'Q': '3558.77727', 'B': '0'}}
