== 2024-02-26 16:10:33.257856 == | ================启动Log================
== 2024-02-26 16:15:01.018816 writeLog== | k线完结,{'e': 'kline', 'E': 1708935301004, 's': 'AGLDUSDT', 'k': {'t': 1708935240000, 'T': 1708935299999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56486283, 'L': 56486469, 'o': '1.4569000', 'c': '1.4548000', 'h': '1.4590000', 'l': '1.4542000', 'v': '11083', 'n': 187, 'x': True, 'q': '16146.4866000', 'V': '4684', 'Q': '6829.0327000', 'B': '0'}}
== 2024-02-26 16:16:00.119367 writeLog== | k线完结,{'e': 'kline', 'E': 1708935360106, 's': 'AGLDUSDT', 'k': {'t': 1708935300000, 'T': 1708935359999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56486470, 'L': 56486710, 'o': '1.4547000', 'c': '1.4517000', 'h': '1.4550000', 'l': '1.4495000', 'v': '16254', 'n': 241, 'x': True, 'q': '23593.4881000', 'V': '1279', 'Q': '1858.4461000', 'B': '0'}}
== 2024-02-26 16:16:45.546938 == | ================启动Log================
== 2024-02-26 16:16:45.746236 writeLog== | 全撤:{'status': 'failed', 'data': {'ts': 1708935405745, 'code': -1, 'info': {'code': '429', 'msg': 'Too Many Requests', 'requestTime': 1708935405733, 'data': None}}, 'extra': None}
== 2024-02-26 16:16:45.952654 writeLog== | 全撤:{'status': 'failed', 'data': {'ts': 1708935405952, 'code': -1, 'info': {'code': '429', 'msg': 'Too Many Requests', 'requestTime': 1708935405941, 'data': None}}, 'extra': None}
== 2024-02-26 16:17:00.474330 writeLog== | k线完结,{'e': 'kline', 'E': 1708935420421, 's': 'AGLDUSDT', 'k': {'t': 1708935360000, 'T': 1708935419999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56486711, 'L': 56486835, 'o': '1.4519000', 'c': '1.4498000', 'h': '1.4530000', 'l': '1.4493000', 'v': '3567', 'n': 125, 'x': True, 'q': '5178.0003000', 'V': '1247', 'Q': '1810.6938000', 'B': '0'}}
== 2024-02-26 16:18:00.093176 writeLog== | k线完结,{'e': 'kline', 'E': 1708935480066, 's': 'AGLDUSDT', 'k': {'t': 1708935420000, 'T': 1708935479999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56486836, 'L': 56487449, 'o': '1.4492000', 'c': '1.4495000', 'h': '1.4502000', 'l': '1.4439000', 'v': '30775', 'n': 614, 'x': True, 'q': '44507.9150000', 'V': '7592', 'Q': '10991.3094000', 'B': '0'}}
== 2024-02-26 16:19:03.039014 writeLog== | k线完结,{'e': 'kline', 'E': 1708935543000, 's': 'AGLDUSDT', 'k': {'t': 1708935480000, 'T': 1708935539999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56487450, 'L': 56487715, 'o': '1.4491000', 'c': '1.4549000', 'h': '1.4568000', 'l': '1.4491000', 'v': '9575', 'n': 266, 'x': True, 'q': '13919.8718000', 'V': '8823', 'Q': '12826.6577000', 'B': '0'}}
== 2024-02-26 16:20:01.296534 writeLog== | k线完结,{'e': 'kline', 'E': 1708935601248, 's': 'AGLDUSDT', 'k': {'t': 1708935540000, 'T': 1708935599999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56487716, 'L': 56487806, 'o': '1.4556000', 'c': '1.4577000', 'h': '1.4590000', 'l': '1.4556000', 'v': '3367', 'n': 91, 'x': True, 'q': '4908.8148000', 'V': '2930', 'Q': '4271.9255000', 'B': '0'}}
== 2024-02-26 16:21:00.805700 writeLog== | k线完结,{'e': 'kline', 'E': 1708935660765, 's': 'AGLDUSDT', 'k': {'t': 1708935600000, 'T': 1708935659999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56487807, 'L': 56487999, 'o': '1.4575000', 'c': '1.4592000', 'h': '1.4609000', 'l': '1.4570000', 'v': '7501', 'n': 193, 'x': True, 'q': '10949.2230000', 'V': '6111', 'Q': '8921.2852000', 'B': '0'}}
== 2024-02-26 16:22:03.031505 writeLog== | k线完结,{'e': 'kline', 'E': 1708935723001, 's': 'AGLDUSDT', 'k': {'t': 1708935660000, 'T': 1708935719999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56488000, 'L': 56488175, 'o': '1.4591000', 'c': '1.4597000', 'h': '1.4618000', 'l': '1.4579000', 'v': '11262', 'n': 176, 'x': True, 'q': '16450.3724000', 'V': '9119', 'Q': '13321.5762000', 'B': '0'}}
== 2024-02-26 16:22:50.419638 writeLog== | 全撤:{'status': 'failed', 'data': {'ts': 1708935770419, 'code': -1, 'info': {'code': '40009', 'msg': 'sign签名错误', 'requestTime': 1708935770408, 'data': None}}, 'extra': None}
== 2024-02-26 16:23:01.383111 writeLog== | k线完结,{'e': 'kline', 'E': 1708935781342, 's': 'AGLDUSDT', 'k': {'t': 1708935720000, 'T': 1708935779999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56488176, 'L': 56488316, 'o': '1.4598000', 'c': '1.4584000', 'h': '1.4603000', 'l': '1.4572000', 'v': '8706', 'n': 141, 'x': True, 'q': '12693.2708000', 'V': '1005', 'Q': '1465.8546000', 'B': '0'}}
== 2024-02-26 16:24:03.042722 writeLog== | k线完结,{'e': 'kline', 'E': 1708935843001, 's': 'AGLDUSDT', 'k': {'t': 1708935780000, 'T': 1708935839999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56488317, 'L': 56488488, 'o': '1.4583000', 'c': '1.4559000', 'h': '1.4591000', 'l': '1.4555000', 'v': '7232', 'n': 172, 'x': True, 'q': '10540.2104000', 'V': '821', 'Q': '1196.6743000', 'B': '0'}}
== 2024-02-26 16:25:02.175295 writeLog== | k线完结,{'e': 'kline', 'E': 1708935902107, 's': 'AGLDUSDT', 'k': {'t': 1708935840000, 'T': 1708935899999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56488489, 'L': 56488547, 'o': '1.4559000', 'c': '1.4575000', 'h': '1.4584000', 'l': '1.4558000', 'v': '2599', 'n': 59, 'x': True, 'q': '3786.1870000', 'V': '2257', 'Q': '3288.0183000', 'B': '0'}}
== 2024-02-26 16:25:52.021392 writeLog== | 全撤:{'status': 'success', 'data': {'ts': 1708935952021, 'code': 0, 'info': 'success'}, 'extra': None}
== 2024-02-26 16:26:03.038052 writeLog== | k线完结,{'e': 'kline', 'E': 1708935963000, 's': 'AGLDUSDT', 'k': {'t': 1708935900000, 'T': 1708935959999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56488548, 'L': 56488749, 'o': '1.4572000', 'c': '1.4626000', 'h': '1.4627000', 'l': '1.4564000', 'v': '12543', 'n': 202, 'x': True, 'q': '18314.5556000', 'V': '11312', 'Q': '16517.0922000', 'B': '0'}}
== 2024-02-26 16:27:03.047487 writeLog== | k线完结,{'e': 'kline', 'E': 1708936023000, 's': 'AGLDUSDT', 'k': {'t': 1708935960000, 'T': 1708936019999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56488750, 'L': 56488879, 'o': '1.4624000', 'c': '1.4634000', 'h': '1.4637000', 'l': '1.4614000', 'v': '3855', 'n': 130, 'x': True, 'q': '5639.0969000', 'V': '2006', 'Q': '2934.7051000', 'B': '0'}}
== 2024-02-26 16:28:03.032451 writeLog== | k线完结,{'e': 'kline', 'E': 1708936083000, 's': 'AGLDUSDT', 'k': {'t': 1708936020000, 'T': 1708936079999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56488880, 'L': 56488922, 'o': '1.4631000', 'c': '1.4629000', 'h': '1.4638000', 'l': '1.4628000', 'v': '2258', 'n': 43, 'x': True, 'q': '3303.6182000', 'V': '287', 'Q': '419.9728000', 'B': '0'}}
== 2024-02-26 16:29:03.027384 writeLog== | k线完结,{'e': 'kline', 'E': 1708936143001, 's': 'AGLDUSDT', 'k': {'t': 1708936080000, 'T': 1708936139999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56488923, 'L': 56488991, 'o': '1.4625000', 'c': '1.4592000', 'h': '1.4625000', 'l': '1.4590000', 'v': '2389', 'n': 69, 'x': True, 'q': '3489.2477000', 'V': '542', 'Q': '791.0877000', 'B': '0'}}
== 2024-02-26 16:30:03.064206 writeLog== | k线完结,{'e': 'kline', 'E': 1708936203001, 's': 'AGLDUSDT', 'k': {'t': 1708936140000, 'T': 1708936199999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56488992, 'L': 56489026, 'o': '1.4591000', 'c': '1.4606000', 'h': '1.4606000', 'l': '1.4591000', 'v': '515', 'n': 35, 'x': True, 'q': '751.6630000', 'V': '515', 'Q': '751.6630000', 'B': '0'}}
== 2024-02-26 16:31:03.039820 writeLog== | k线完结,{'e': 'kline', 'E': 1708936263001, 's': 'AGLDUSDT', 'k': {'t': 1708936200000, 'T': 1708936259999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56489027, 'L': 56489133, 'o': '1.4606000', 'c': '1.4597000', 'h': '1.4630000', 'l': '1.4596000', 'v': '2854', 'n': 107, 'x': True, 'q': '4169.6132000', 'V': '1590', 'Q': '2322.6275000', 'B': '0'}}
== 2024-02-26 16:32:03.026863 writeLog== | k线完结,{'e': 'kline', 'E': 1708936323001, 's': 'AGLDUSDT', 'k': {'t': 1708936260000, 'T': 1708936319999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56489134, 'L': 56489213, 'o': '1.4595000', 'c': '1.4622000', 'h': '1.4622000', 'l': '1.4590000', 'v': '2122', 'n': 80, 'x': True, 'q': '3098.9021000', 'V': '1722', 'Q': '2514.7570000', 'B': '0'}}
== 2024-02-26 16:33:03.038421 writeLog== | k线完结,{'e': 'kline', 'E': 1708936383000, 's': 'AGLDUSDT', 'k': {'t': 1708936320000, 'T': 1708936379999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56489214, 'L': 56489304, 'o': '1.4613000', 'c': '1.4560000', 'h': '1.4613000', 'l': '1.4560000', 'v': '5013', 'n': 91, 'x': True, 'q': '7310.9802000', 'V': '394', 'Q': '574.8205000', 'B': '0'}}
== 2024-02-26 16:34:03.048224 writeLog== | k线完结,{'e': 'kline', 'E': 1708936443000, 's': 'AGLDUSDT', 'k': {'t': 1708936380000, 'T': 1708936439999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56489305, 'L': 56489418, 'o': '1.4560000', 'c': '1.4573000', 'h': '1.4583000', 'l': '1.4558000', 'v': '2037', 'n': 114, 'x': True, 'q': '2967.3778000', 'V': '1409', 'Q': '2052.5181000', 'B': '0'}}
== 2024-02-26 16:35:00.124642 writeLog== | k线完结,{'e': 'kline', 'E': 1708936500110, 's': 'AGLDUSDT', 'k': {'t': 1708936440000, 'T': 1708936499999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56489419, 'L': 56489490, 'o': '1.4570000', 'c': '1.4565000', 'h': '1.4577000', 'l': '1.4560000', 'v': '1978', 'n': 72, 'x': True, 'q': '2881.2559000', 'V': '972', 'Q': '1415.7637000', 'B': '0'}}
== 2024-02-26 16:36:01.489616 writeLog== | k线完结,{'e': 'kline', 'E': 1708936561468, 's': 'AGLDUSDT', 'k': {'t': 1708936500000, 'T': 1708936559999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56489491, 'L': 56489623, 'o': '1.4566000', 'c': '1.4534000', 'h': '1.4566000', 'l': '1.4521000', 'v': '5518', 'n': 133, 'x': True, 'q': '8020.2888000', 'V': '1066', 'Q': '1550.6333000', 'B': '0'}}
== 2024-02-26 16:37:03.033905 writeLog== | k线完结,{'e': 'kline', 'E': 1708936623001, 's': 'AGLDUSDT', 'k': {'t': 1708936560000, 'T': 1708936619999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56489624, 'L': 56489659, 'o': '1.4535000', 'c': '1.4532000', 'h': '1.4536000', 'l': '1.4530000', 'v': '905', 'n': 36, 'x': True, 'q': '1315.1650000', 'V': '544', 'Q': '790.5771000', 'B': '0'}}
== 2024-02-26 16:38:00.530880 writeLog== | k线完结,{'e': 'kline', 'E': 1708936680504, 's': 'AGLDUSDT', 'k': {'t': 1708936620000, 'T': 1708936679999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56489660, 'L': 56489725, 'o': '1.4531000', 'c': '1.4504000', 'h': '1.4531000', 'l': '1.4504000', 'v': '2332', 'n': 66, 'x': True, 'q': '3383.8341000', 'V': '604', 'Q': '876.4543000', 'B': '0'}}
== 2024-02-26 16:39:03.063706 writeLog== | k线完结,{'e': 'kline', 'E': 1708936743002, 's': 'AGLDUSDT', 'k': {'t': 1708936680000, 'T': 1708936739999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56489726, 'L': 56489797, 'o': '1.4502000', 'c': '1.4499000', 'h': '1.4509000', 'l': '1.4496000', 'v': '1776', 'n': 72, 'x': True, 'q': '2575.8457000', 'V': '1121', 'Q': '1626.0933000', 'B': '0'}}
== 2024-02-26 16:40:01.105041 writeLog== | k线完结,{'e': 'kline', 'E': 1708936801087, 's': 'AGLDUSDT', 'k': {'t': 1708936740000, 'T': 1708936799999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56489798, 'L': 56489830, 'o': '1.4505000', 'c': '1.4510000', 'h': '1.4510000', 'l': '1.4503000', 'v': '636', 'n': 33, 'x': True, 'q': '922.5699000', 'V': '441', 'Q': '639.7389000', 'B': '0'}}
== 2024-02-26 16:41:03.028286 writeLog== | k线完结,{'e': 'kline', 'E': 1708936863000, 's': 'AGLDUSDT', 'k': {'t': 1708936800000, 'T': 1708936859999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56489831, 'L': 56489920, 'o': '1.4510000', 'c': '1.4514000', 'h': '1.4516000', 'l': '1.4499000', 'v': '6861', 'n': 90, 'x': True, 'q': '9953.7784000', 'V': '4156', 'Q': '6030.1839000', 'B': '0'}}
== 2024-02-26 16:42:03.040280 writeLog== | k线完结,{'e': 'kline', 'E': 1708936923000, 's': 'AGLDUSDT', 'k': {'t': 1708936860000, 'T': 1708936919999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56489921, 'L': 56489977, 'o': '1.4514000', 'c': '1.4512000', 'h': '1.4523000', 'l': '1.4509000', 'v': '1528', 'n': 57, 'x': True, 'q': '2217.9781000', 'V': '909', 'Q': '1319.5299000', 'B': '0'}}
== 2024-02-26 16:43:02.208477 writeLog== | k线完结,{'e': 'kline', 'E': 1708936982160, 's': 'AGLDUSDT', 'k': {'t': 1708936920000, 'T': 1708936979999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56489978, 'L': 56490007, 'o': '1.4514000', 'c': '1.4500000', 'h': '1.4514000', 'l': '1.4500000', 'v': '436', 'n': 30, 'x': True, 'q': '632.5228000', 'V': '0', 'Q': '0', 'B': '0'}}
== 2024-02-26 16:44:03.022532 writeLog== | k线完结,{'e': 'kline', 'E': 1708937043001, 's': 'AGLDUSDT', 'k': {'t': 1708936980000, 'T': 1708937039999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56490008, 'L': 56490045, 'o': '1.4501000', 'c': '1.4495000', 'h': '1.4504000', 'l': '1.4493000', 'v': '876', 'n': 38, 'x': True, 'q': '1270.1024000', 'V': '70', 'Q': '101.5070000', 'B': '0'}}
== 2024-02-26 16:45:00.862935 writeLog== | k线完结,{'e': 'kline', 'E': 1708937100855, 's': 'AGLDUSDT', 'k': {'t': 1708937040000, 'T': 1708937099999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56490046, 'L': 56490089, 'o': '1.4496000', 'c': '1.4478000', 'h': '1.4496000', 'l': '1.4478000', 'v': '1079', 'n': 44, 'x': True, 'q': '1563.0956000', 'V': '4', 'Q': '5.7968000', 'B': '0'}}
== 2024-02-26 16:46:01.346026 writeLog== | k线完结,{'e': 'kline', 'E': 1708937161326, 's': 'AGLDUSDT', 'k': {'t': 1708937100000, 'T': 1708937159999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56490090, 'L': 56490206, 'o': '1.4478000', 'c': '1.4461000', 'h': '1.4481000', 'l': '1.4451000', 'v': '3406', 'n': 117, 'x': True, 'q': '4927.6399000', 'V': '1298', 'Q': '1878.1399000', 'B': '0'}}
== 2024-02-26 16:47:00.785170 writeLog== | k线完结,{'e': 'kline', 'E': 1708937220736, 's': 'AGLDUSDT', 'k': {'t': 1708937160000, 'T': 1708937219999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56490207, 'L': 56490275, 'o': '1.4455000', 'c': '1.4486000', 'h': '1.4490000', 'l': '1.4455000', 'v': '2830', 'n': 69, 'x': True, 'q': '4093.7372000', 'V': '2315', 'Q': '3347.8333000', 'B': '0'}}
== 2024-02-26 16:48:03.041261 writeLog== | k线完结,{'e': 'kline', 'E': 1708937283000, 's': 'AGLDUSDT', 'k': {'t': 1708937220000, 'T': 1708937279999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56490276, 'L': 56490330, 'o': '1.4487000', 'c': '1.4492000', 'h': '1.4499000', 'l': '1.4485000', 'v': '1156', 'n': 55, 'x': True, 'q': '1675.2152000', 'V': '738', 'Q': '1069.5665000', 'B': '0'}}
== 2024-02-26 16:49:03.009774 writeLog== | k线完结,{'e': 'kline', 'E': 1708937343000, 's': 'AGLDUSDT', 'k': {'t': 1708937280000, 'T': 1708937339999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56490331, 'L': 56490343, 'o': '1.4494000', 'c': '1.4480000', 'h': '1.4494000', 'l': '1.4480000', 'v': '409', 'n': 13, 'x': True, 'q': '592.7125000', 'V': '0', 'Q': '0', 'B': '0'}}
== 2024-02-26 16:50:00.503907 writeLog== | k线完结,{'e': 'kline', 'E': 1708937400463, 's': 'AGLDUSDT', 'k': {'t': 1708937340000, 'T': 1708937399999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56490344, 'L': 56490397, 'o': '1.4473000', 'c': '1.4482000', 'h': '1.4483000', 'l': '1.4472000', 'v': '1858', 'n': 54, 'x': True, 'q': '2689.9004000', 'V': '1128', 'Q': '1633.0103000', 'B': '0'}}
== 2024-02-26 16:51:02.852891 writeLog== | k线完结,{'e': 'kline', 'E': 1708937462840, 's': 'AGLDUSDT', 'k': {'t': 1708937400000, 'T': 1708937459999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56490398, 'L': 56490453, 'o': '1.4482000', 'c': '1.4470000', 'h': '1.4482000', 'l': '1.4466000', 'v': '1711', 'n': 56, 'x': True, 'q': '2477.0254000', 'V': '376', 'Q': '544.3222000', 'B': '0'}}
== 2024-02-26 16:52:01.315208 writeLog== | k线完结,{'e': 'kline', 'E': 1708937521270, 's': 'AGLDUSDT', 'k': {'t': 1708937460000, 'T': 1708937519999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56490454, 'L': 56490496, 'o': '1.4467000', 'c': '1.4462000', 'h': '1.4470000', 'l': '1.4451000', 'v': '632', 'n': 43, 'x': True, 'q': '913.8480000', 'V': '117', 'Q': '169.1969000', 'B': '0'}}
== 2024-02-26 16:53:01.288727 writeLog== | k线完结,{'e': 'kline', 'E': 1708937581269, 's': 'AGLDUSDT', 'k': {'t': 1708937520000, 'T': 1708937579999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56490497, 'L': 56490747, 'o': '1.4458000', 'c': '1.4429000', 'h': '1.4464000', 'l': '1.4413000', 'v': '19143', 'n': 251, 'x': True, 'q': '27623.1208000', 'V': '1035', 'Q': '1494.9096000', 'B': '0'}}
== 2024-02-26 16:54:01.438261 writeLog== | k线完结,{'e': 'kline', 'E': 1708937641420, 's': 'AGLDUSDT', 'k': {'t': 1708937580000, 'T': 1708937639999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56490748, 'L': 56490839, 'o': '1.4430000', 'c': '1.4441000', 'h': '1.4441000', 'l': '1.4418000', 'v': '3149', 'n': 92, 'x': True, 'q': '4544.5289000', 'V': '1807', 'Q': '2608.5695000', 'B': '0'}}
== 2024-02-26 16:55:02.102060 writeLog== | k线完结,{'e': 'kline', 'E': 1708937702104, 's': 'AGLDUSDT', 'k': {'t': 1708937640000, 'T': 1708937699999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56490840, 'L': 56490910, 'o': '1.4443000', 'c': '1.4456000', 'h': '1.4459000', 'l': '1.4436000', 'v': '3512', 'n': 71, 'x': True, 'q': '5075.2442000', 'V': '3011', 'Q': '4351.9439000', 'B': '0'}}
== 2024-02-26 16:56:03.011314 writeLog== | k线完结,{'e': 'kline', 'E': 1708937763000, 's': 'AGLDUSDT', 'k': {'t': 1708937700000, 'T': 1708937759999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56490911, 'L': 56491023, 'o': '1.4454000', 'c': '1.4434000', 'h': '1.4454000', 'l': '1.4430000', 'v': '4857', 'n': 113, 'x': True, 'q': '7012.5425000', 'V': '2162', 'Q': '3121.2921000', 'B': '0'}}
== 2024-02-26 16:57:03.033428 writeLog== | k线完结,{'e': 'kline', 'E': 1708937823001, 's': 'AGLDUSDT', 'k': {'t': 1708937760000, 'T': 1708937819999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56491024, 'L': 56491171, 'o': '1.4435000', 'c': '1.4448000', 'h': '1.4460000', 'l': '1.4435000', 'v': '5672', 'n': 148, 'x': True, 'q': '8194.4535000', 'V': '4195', 'Q': '6060.3699000', 'B': '0'}}
== 2024-02-26 16:58:02.182185 writeLog== | k线完结,{'e': 'kline', 'E': 1708937882132, 's': 'AGLDUSDT', 'k': {'t': 1708937820000, 'T': 1708937879999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56491172, 'L': 56491347, 'o': '1.4447000', 'c': '1.4442000', 'h': '1.4456000', 'l': '1.4427000', 'v': '6958', 'n': 176, 'x': True, 'q': '10049.3190000', 'V': '3587', 'Q': '5182.7664000', 'B': '0'}}
== 2024-02-26 16:59:03.013002 writeLog== | k线完结,{'e': 'kline', 'E': 1708937943001, 's': 'AGLDUSDT', 'k': {'t': 1708937880000, 'T': 1708937939999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56491348, 'L': 56491400, 'o': '1.4445000', 'c': '1.4425000', 'h': '1.4445000', 'l': '1.4425000', 'v': '1691', 'n': 53, 'x': True, 'q': '2440.8979000', 'V': '661', 'Q': '953.9746000', 'B': '0'}}
== 2024-02-26 17:00:00.316724 writeLog== | k线完结,{'e': 'kline', 'E': 1708938000248, 's': 'AGLDUSDT', 'k': {'t': 1708937940000, 'T': 1708937999999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56491401, 'L': 56491446, 'o': '1.4428000', 'c': '1.4436000', 'h': '1.4442000', 'l': '1.4428000', 'v': '1987', 'n': 46, 'x': True, 'q': '2868.4045000', 'V': '1111', 'Q': '1603.6273000', 'B': '0'}}
== 2024-02-26 17:01:01.346229 writeLog== | k线完结,{'e': 'kline', 'E': 1708938061315, 's': 'AGLDUSDT', 'k': {'t': 1708938000000, 'T': 1708938059999, 's': 'AGLDUSDT', 'i': '1m', 'f': 56491447, 'L': 56491610, 'o': '1.4435000', 'c': '1.4430000', 'h': '1.4452000', 'l': '1.4425000', 'v': '5442', 'n': 164, 'x': True, 'q': '7855.2246000', 'V': '1054', 'Q': '1521.7614000', 'B': '0'}}
